file,mask
positive_patches/133.png,positive_masks/133.png
positive_patches/134.png,positive_masks/134.png
positive_patches/135.png,positive_masks/135.png
positive_patches/136.png,positive_masks/136.png
positive_patches/137.png,positive_masks/137.png
positive_patches/138.png,positive_masks/138.png
positive_patches/139.png,positive_masks/139.png
positive_patches/140.png,positive_masks/140.png
positive_patches/141.png,positive_masks/141.png
positive_patches/142.png,positive_masks/142.png
positive_patches/143.png,positive_masks/143.png
positive_patches/144.png,positive_masks/144.png
positive_patches/145.png,positive_masks/145.png
positive_patches/146.png,positive_masks/146.png
positive_patches/147.png,positive_masks/147.png
positive_patches/148.png,positive_masks/148.png
positive_patches/149.png,positive_masks/149.png
positive_patches/150.png,positive_masks/150.png
positive_patches/151.png,positive_masks/151.png
positive_patches/152.png,positive_masks/152.png
positive_patches/153.png,positive_masks/153.png
positive_patches/154.png,positive_masks/154.png
